"id","title","sort_title","song_form_id","description","contrafact_id","created_at","updated_at"
9910,"Ua Like No A Like","UA LIKE NO A LIKE",6,,,,
9911,"Aloha oe","ALOHA OE",6,,,,
9912,"Samba Do Aviao","SAMBA DO AVIAO",6,,,,
9913,"Engano","ENGANO",6,,,,
9914,"Cancao Do Amor Demais","CANCAO DO AMOR DEMAIS",6,,,,
9915,"Samba Torto","SAMBA TORTO",6,,,,
9916,"As Praias Desertas","AS PRAIAS DESERTAS",6,,,,
9917,"I Speak To The Stars","I SPEAK TO THE STARS",6,,,,
9918,"I Love To Watch The Moonlight","I LOVE TO WATCH THE MOONLIGHT",6,,,,
9919,"When April Comes Again","WHEN APRIL COMES AGAIN",6,,,,
9920,"For All We Know","FOR ALL WE KNOW",6,,,,
9921,"I Wish I'd Met You","I WISH ID MET YOU",6,,,,
9922,"Inside A Silent Tear","INSIDE A SILENT TEAR",6,,,,
9923,"Roxie","ROXIE",6,,,,
9924,"Top Billing","TOP BILLING",6,,,,
9925,"Sing","SING",6,,,,
9926,"How Lucky Can You Get","HOW LUCKY CAN YOU GET",6,,,,
9927,"I've A Shooting Box In Scotland","IVE A SHOOTING BOX IN SCOTLAND",6,,,,
9928,"Mr. Keyboard Man - The Enterainer","MR KEYBOARD MAN - THE ENTERAINER",6,,,,
9929,"Things Are Swinging","THINGS ARE SWINGING",6,,,,
9930,"House Of Flowers","HOUSE OF FLOWERS",6,,,,
9931,"Fun To Be Fooled","FUN TO BE FOOLED",6,,,,
9932,"On The Other Side Of The Tracks","ON THE OTHER SIDE OF THE TRACKS",6,,,,
9933,"The Riviera","RIVIERA",6,,,,
9935,"Ya Better Stop","YA BETTER STOP",6,,,,
9936,"The Sea Song","SEA SONG",6,,,,
9937,"From The Bottom To The Top","FROM THE BOTTOM TO THE TOP",6,,,,
9938,"You'll Get Yours","YOULL GET YOURS",6,,,,
9939,"Flowers Mean Forgiveness","FLOWERS MEAN FORGIVENESS",6,,,,
9940,"Five Hundred Guys","FIVE HUNDRED GUYS",6,,,,
9941,"Your Love For Me","YOUR LOVE FOR ME",6,,,,
9942,"Tell Her You Love Her","TELL HER YOU LOVE HER",6,,,,
9944,"Mr. Success","MR SUCCESS",6,,,,
9945,"I Couldn't Care Less","I COULDNT CARE LESS",6,,,,
9946,"French Foreign Legion","FRENCH FOREIGN LEGION",6,,,,
9947,"Love Looks So Well On You","LOVE LOOKS SO WELL ON YOU",6,,,,
9948,"A Night At Tony's","NIGHT AT TONYS",6,,,,
9949,"Blue Concept","BLUE CONCEPT",6,,,,
9950,"Deltitnu","DELTITNU",6,,,,
9951,"Stupendous-Lee [aka Au Tabou]","STUPENDOUS-LEE AKA AU TABOU",6,,,,
9952,"Blue Lights","BLUE LIGHTS",6,,,,
9953,"The Infant's Song","INFANTS SONG",6,,,,
9954,"Social Call","SOCIAL CALL",6,,,,
9955,"Evening In Casablanca","EVENING IN CASABLANCA",6,,,,
9956,"Shabozz","SHABOZZ",6,,,,
9957,"Satellite","SATELLITE",6,,,,
9958,"Sans Souci","SANS SOUCI",6,,,,
9959,"Back Breaker","BACK BREAKER",6,,,,
9960,"Leila's Blues","LEILAS BLUES",6,,,,
9961,"Blues In The Jungle","BLUES IN THE JUNGLE",1,,,,
9962,"Down Home","DOWN HOME",6,,,,
9963,"Let Me Know","LET ME KNOW",6,,,,
9964,"Jones Bones [see Ergo The Blues]","JONES BONES SEE ERGO THE BLUES",6,,,,
9965,"You'll Always Be The One I Love","YOULL ALWAYS BE THE ONE I LOVE",6,,,,
9966,"Speculation","SPECULATION",6,,,,
9967,"In A Meditating Mood","IN A MEDITATING MOOD",6,,,,
9968,"Smoke Signal","SMOKE SIGNAL",6,,,,
9969,"Kerry Dance","KERRY DANCE",6,,,,
9970,"Brake's Sake","BRAKES SAKE",6,,,,
9971,"Gallop's Gallop","GALLOPS GALLOP",6,,,,
9972,"Shuffle Boil","SHUFFLE BOIL",6,,,,
9973,"Scorpio","SCORPIO",6,,,,
9974,"Oscalypso","OSCALYPSO",6,,,,
9975,"Don't Squawk","DONT SQUAWK",6,,,,
9976,"Minor Seventh Heaven","MINOR SEVENTH HEAVEN",6,,,,
9977,"Kamman's A-Comin'","KAMMANS A-COMIN",6,,,,
9978,"Another One","ANOTHER ONE",6,,,,
9979,"Futurity","FUTURITY",6,,,,
9980,"Eleanor","ELEANOR",6,,,,
9981,"Salute To Birdland [aka Salute To The Bandbox; aka Reunion]","SALUTE TO BIRDLAND AKA SALUTE TO THE BANDBOX; AKA REUNION",6,,,,
9982,"Simplicity","SIMPLICITY",6,,,,
9983,"Strictly Romantic","STRICTLY ROMANTIC",6,,,,
9984,"Hello","HELLO",6,,,,
9985,"Sometimes I'm Happy","SOMETIMES IM HAPPY",6,,,,
9986,"Oh Yeah!","OH YEAH",6,,,,
9987,"Green Blues","GREEN BLUES",6,,,,
9988,"The Emperor","EMPEROR",6,,,,
9989,"Vibrations","VIBRATIONS",6,,,,
9990,"The Quiet Time","QUIET TIME",6,,,,
9991,"Lydian M-1","LYDIAN M-1",6,,,,
9992,"Show Time","SHOW TIME",6,,,,
9993,"Majors","MAJORS",6,,,,
9994,"Shome","SHOME",6,,,,
9995,"Transfiguration","TRANSFIGURATION",6,,,,
9996,"D's Dilemma [see Dee's Dilemma]","DS DILEMMA SEE DEES DILEMMA",6,,,,
9997,"Bud Study","BUD STUDY",6,,,,
9998,"The Rat Race Blues","RAT RACE BLUES",6,,,,
9999,"Boxer's Blues","BOXERS BLUES",6,,,,
10000,"Strange Feelin'","STRANGE FEELIN",6,,,,
10001,"Blues In Bloom","BLUES IN BLOOM",1,,,,
10002,"Monday Through Sunday","MONDAY THROUGH SUNDAY",6,,,,
10003,"Reminiscing","REMINISCING",6,,,,
10005,"Onion Head","ONION HEAD",6,,,,
10006,"Xtacy","XTACY",6,,,,
10007,"Bangoon","BANGOON",6,,,,
10008,"Bat Land","BAT LAND",6,,,,
10009,"Geraldine","GERALDINE",6,,,,
10010,"Wake Up!","WAKE UP",6,,,,
10011,"Straight Ahead","STRAIGHT AHEAD",6,,,,
10012,"Philly J. J.","PHILLY J J",6,,,,
10013,"Choose Now","CHOOSE NOW",6,,,,
10014,"Dial \B\"" For Beauty""","DIAL B FOR BEAUTY",6,,,,
10015,"Theme Of No Repeat","THEME OF NO REPEAT",6,,,,
10016,"Li'l Daddee","LIL DADDEE",6,,,,
10017,"Square Dance Boogie","SQUARE DANCE BOOGIE",6,,,,
10018,"But Officer!","BUT OFFICER",6,,,,
10019,"Street Walking","STREET WALKING",6,,,,
10020,"Hasaan's Dream","HASAANS DREAM",6,,,,
10021,"Mesabi Chant","MESABI CHANT",6,,,,
10022,"Tip-Toeing","TIP-TOEING",6,,,,
10023,"Domingo","DOMINGO",6,,,,
10024,"Let's","LETS",6,,,,
10025,"Going Off Stage","GOING OFF STAGE",6,,,,
10026,"Slipped Again","SLIPPED AGAIN",6,,,,
10027,"Thadrack","THADRACK",6,,,,
10028,"Tranquility","TRANQUILITY",6,,,,
10029,"Jarm","JARM",6,,,,
10030,"Ittapnna","ITTAPNNA",6,,,,
10031,"Sfax","SFAX",6,,,,
10032,"Cou-Manchi-Cou","COU-MANCHI-COU",6,,,,
10033,"Drum Conversation","DRUM CONVERSATION",6,,,,
10034,"Kismet [aka Straight Ahead]","KISMET AKA STRAIGHT AHEAD",6,,,,
10035,"Mobleyzation","MOBLEYZATION",6,,,,
10036,"Orientation","ORIENTATION",6,,,,
10037,"Lullaby For Milkman","LULLABY FOR MILKMAN",6,,,,
10038,"Seabreeze","SEABREEZE",6,,,,
10039,"Cold Breeze","COLD BREEZE",6,,,,
10040,"Rich And Creamy","RICH AND CREAMY",6,,,,
10041,"Little Susan","LITTLE SUSAN",6,,,,
10042,"Somewhere","SOMEWHERE",6,,,,
10043,"Baba's Blues","BABAS BLUES",6,,,,
10044,"Little Niles","LITTLE NILES",6,,,,
10045,"Splittin' [aka Ray's Way]","SPLITTIN AKA RAYS WAY",6,,,,
10046,"Exhibit A","EXHIBIT A",6,,,,
10047,"Ergo The Blues [aka Jones Bones]","ERGO THE BLUES AKA JONES BONES",6,,,,
10048,"Passade","PASSADE",6,,,,
10049,"Byrd In Hand","BYRD IN HAND",6,,,,
10050,"Now Don't You Know","NOW DONT YOU KNOW",6,,,,
10051,"Early Morning Blues","EARLY MORNING BLUES",6,,,,
10052,"Elgy","ELGY",6,,,,
10053,"Steppin' Out","STEPPIN OUT",6,,,,
10054,"Early Bird","EARLY BIRD",6,,,,
10055,"Something In B Flat","SOMETHING IN B FLAT",6,,,,
10056,"Just By Myself","JUST BY MYSELF",6,,,,
10057,"Blues It","BLUES IT",1,,,,
10058,"B. G.'s Holiday","B GS HOLIDAY",6,,,,
10059,"Whisper Not","WHISPER NOT",6,,,,
10060,"Blues After Dark","BLUES AFTER DARK",1,,,,
10061,"Abide With Me","ABIDE WITH ME",6,,,,
10062,"Blues For Tomorrow","BLUES FOR TOMORROW",1,,,,
10063,"Lisa","LISA",6,,,,
10064,"Boo Wah","BOO WAH",6,,,,
10065,"Something For Lili","SOMETHING FOR LILI",6,,,,
10066,"Wallington Special","WALLINGTON SPECIAL",6,,,,
10067,"Not So Sleepy","NOT SO SLEEPY",6,,,,
10068,"Knights At The Castle","KNIGHTS AT THE CASTLE",6,,,,
10069,"Now See How You Are","NOW SEE HOW YOU ARE",6,,,,
10070,"The Gentle Art Of Love","GENTLE ART OF LOVE",6,,,,
10071,"Two French Fries","TWO FRENCH FRIES",6,,,,
10072,"Sigi","SIGI",6,,,,
10073,"Two Moods","TWO MOODS",6,,,,
10074,"Blues Shout","BLUES SHOUT",1,,,,
10075,"Deep Passion","DEEP PASSION",6,,,,
10076,"Sunrise-Sunset","SUNRISE-SUNSET",6,,,,
10077,"The Pendulum At Falcon's Lair","PENDULUM AT FALCONS LAIR",6,,,,
10078,"Jackie","JACKIE",6,,,,
10079,"Rock Me, But Don't Roll Me","ROCK ME BUT DONT ROLL ME",6,,,,
10080,"The Moon Walks","MOON WALKS",6,,,,
10081,"Paris The Beautiful","PARIS THE BEAUTIFUL",6,,,,
10082,"Purple Shades","PURPLE SHADES",6,"NOT by Quincy Jones, confirmed by Noal Cohen",,,
10083,"La Rose Noire","LA ROSE NOIRE",6,,,,
10084,"Anne Marie (I Need You So)","ANNE MARIE I NEED YOU SO",6,,,,
10085,"Keepin' Up With Jonesy","KEEPIN UP WITH JONESY",6,,,,
10086,"Brown Skins","BROWN SKINS",6,,,,
10087,"Goofin' With Me","GOOFIN WITH ME",6,,,,
10088,"Quick Step","QUICK STEP",6,,,,
10089,"Bum's Rush","BUMS RUSH",6,,,,
10090,"A Premonition Of You","PREMONITION OF YOU",6,,,,
10091,"In A Strange Mood","IN A STRANGE MOOD",6,,,,
10092,"Seems Like You Just Don't Care","SEEMS LIKE YOU JUST DONT CARE",6,"rec. by Dizzy Gillespie 1955",,,
10093,"Shout By Rail","SHOUT BY RAIL",6,,,,
10094,"Baby","BABY",6,,,,
10095,"Anniversary Boogie","ANNIVERSARY BOOGIE",6,,,,
10096,"No Start No End","NO START NO END",6,,,,
10097,"(Venez Donc) Chez Moi","CHEZ MOI",6,,,,
10098,"Serenade To Sonny","SERENADE TO SONNY",6,,,,
10099,"All Weird","ALL WEIRD",6,,,,
10100,"untitled","UNTITLED",6,,,,
10101,"Word From Bird","WORD FROM BIRD",6,,,,
10102,"Fingerpoppin' Blues","FINGERPOPPIN BLUES",6,,,,
10103,"A Blues Serenade","BLUES SERENADE",6,,,,
10104,"After After Hours [aka Time To Go]","AFTER AFTER HOURS AKA TIME TO GO",6,,,,
10105,"Up In Quincy's Room","UP IN QUINCYS ROOM",6,,,,
10106,"Consultation","CONSULTATION",6,,,,
10107,"Expansion","EXPANSION",6,,,,
10108,"Sonar","SONAR",6,,,,
10109,"Ratology","RATOLOGY",6,,,,
10110,"Lighthouse","LIGHTHOUSE",6,,,,
10111,"Despair","DESPAIR",6,,,,
10112,"Blues In The Mornin'","BLUES IN THE MORNIN",1,,,,
10113,"Search","SEARCH",6,,,,
10114,"Sequence","SEQUENCE",6,,,,
10115,"You're A Lucky Guy","YOURE A LUCKY GUY",6,,,,
10116,"Uhuru Kwanza","UHURU KWANZA",6,,,,
10118,"Bantu","BANTU",6,,,,
10119,"Kucheza Blues [aka Gee Blues Gee]","KUCHEZA BLUES AKA GEE BLUES GEE",6,,,,
10120,"African Lady","AFRICAN LADY",6,,,,
10121,"The Cat Walk","CAT WALK",6,,,,
10122,"Duke's Mixture","DUKES MIXTURE",6,,,,
10123,"Each Time I Think Of You","EACH TIME I THINK OF YOU",6,,,,
10124,"Say You're Mine","SAY YOURE MINE",6,,,,
10125,"Hello Bright Sunflower","HELLO BRIGHT SUNFLOWER",6,,,,
10126,"Child's Play","CHILDS PLAY",6,,,,
10127,"Ghana","GHANA",6,,,,
10128,"Lex","LEX",6,,,,
10129,"Carol","CAROL",6,"incorrectly credited to Donald Byrd on Byrd In Flight
BMI - yes for Drew, nothing for Byrd",,,
10130,"Fuego","FUEGO",6,,,,
10131,"Amen","AMEN",6,,,,
10132,"Lament","LAMENT",6,,,,
10133,"Low Life","LOW LIFE",6,,,,
10134,"Bup A Loup","BUP A LOUP",6,,,,
10135,"Funky Mama","FUNKY MAMA",6,,,,
10136,"Soulful Kiddy","SOULFUL KIDDY",6,,,,
10137,"Gate City Blues","GATE CITY BLUES",6,,,,
10138,"Kimyas","KIMYAS",6,,,,
10139,"Cecile","CECILE",6,,,,
10140,"Bo","BO",6,,,,
10141,"My Girl Shirl","MY GIRL SHIRL",6,,,,
10142,"Little Boy Blue","LITTLE BOY BLUE",6,,,,
10143,"Little Johnny C","LITTLE JOHNNY C",6,,,,
10144,"Hobo Joe","HOBO JOE",6,,,,
10145,"Jano","JANO",6,,,,
10146,"So Sweet My Little Girl","SO SWEET MY LITTLE GIRL",6,,,,
10147,"Heavy Legs","HEAVY LEGS",6,,,,
10148,"My Secret Passion","MY SECRET PASSION",6,,,,
10149,"Mau Mau","MAU MAU",6,,,,
10150,"Work Of Art","WORK OF ART",6,,,,
10151,"The Little Bandmaster","LITTLE BANDMASTER",6,,,,
10152,"Elephant Walk","ELEPHANT WALK",6,,,,
10153,"Tiajuana","TIAJUANA",6,,,,
10154,"Wee-Jay","WEE-JAY",6,,,,
10155,"Mark V","MARK V",6,,,,
10157,"Bobbie Pin","BOBBIE PIN",6,,,,
10158,"Ka-link","KA-LINK",6,,,,
10159,"Beauteous","BEAUTEOUS",6,,,,
10160,"Mambo Junior","MAMBO JUNIOR",6,,,,
10161,"Little T [see The New Message OR Lil' T]","LITTLE T SEE THE NEW MESSAGE OR LIL T",6,"way confusing!",,,
10162,"The New Message [aka Little T]","NEW MESSAGE AKA LITTLE T",6,,,,
10163,"Jack The Ripper","JACK THE RIPPER",6,,,,
10164,"Spirit Girl","SPIRIT GIRL",6,,,,
10165,"Our Waltz","OUR WALTZ",6,,,,
10166,"The Call","CALL",6,,,,
10167,"Soul Station","SOUL STATION",6,,,,
10168,"Monday's Dance","MONDAYS DANCE",6,,,,
10169,"Circumstantial","CIRCUMSTANTIAL",6,"Chuck Nessa says: The composition Circumstantial, on the Flying Fish record was written by Simon Salz. He had his attorney write FF about this when the record was issued. ",,,
10170,"Little Sunflower","LITTLE SUNFLOWER",6,,,,
10171,"That's Earl, Brother","THATS EARL BROTHER",6,,,,
10172,"Blues For Johnnie Bratton","BLUES FOR JOHNNIE BRATTON",1,,,,
10173,"Father, Can You Hear Me?","FATHER CAN YOU HEAR ME",6,,,,
10174,"Old Hundredth","OLD HUNDREDTH",6,,,,
10175,"Finlandia","FINLANDIA",6,,,,
10176,"Portrait Of Sal LaRosa","PORTRAIT OF SAL LAROSA",6,,,,
10177,"Dove","DOVE",6,,,,
10178,"Purples, Violets And Blues","PURPLES VIOLETS AND BLUES",6,,,,
10179,"Red Arrow","RED ARROW",6,,,,
10180,"Box 2000","BOX 2000",6,,,,
10181,"Ubas","UBAS",6,,,,
10182,"Nicky's Tune #2","NICKYS TUNE #2",6,,,,
10183,"Nicky's Tune #3","NICKYS TUNE #3",6,,,,
10184,"Wilbur's Tune #2","WILBURS TUNE #2",6,,,,
10185,"Mock And Roll Blues","MOCK AND ROLL BLUES",6,,,,
10186,"Crescent City","CRESCENT CITY",6,,,,
10187,"King Of France","KING OF FRANCE",6,,,,
10188,"Spirit Within","SPIRIT WITHIN",6,,,,
10189,"Island Song","ISLAND SONG",6,,,,
10190,"Sophisticated Yenta","SOPHISTICATED YENTA",6,,,,
10191,"Central Park West","CENTRAL PARK WEST",6,,,,
10192,"Sovereign Court","SOVEREIGN COURT",6,,,,
10193,"United Blues","UNITED BLUES",6,,,,
10194,"Third Plane","THIRD PLANE",6,,,,
10195,"Killer Joe","KILLER JOE",6,,,,
10196,"Jim's Jewel","JIMS JEWEL",6,,,,
10197,"Kenoinjo","KENOINJO",6,,,,
10198,"Untitled Trio Blues","UNTITLED TRIO BLUES",6,,,,
10199,"Neptunis","NEPTUNIS",6,,,,
10200,"untitled","UNTITLED",6,,,,
10201,"Red Alert","RED ALERT",6,,,,
10202,"Theme For A Tarzan Movie","THEME FOR A TARZAN MOVIE",6,,,,
10203,"Somos Novios (Imposible)","SOMOS NOVIOS IMPOSIBLE",6,,,,
10204,"Strut (Rhythm Piece)","STRUT RHYTHM PIECE",6,,,,
10205,"Painted Ladies (A Confiscated Bolero)","PAINTED LADIES A CONFISCATED BOLERO",6,,,,
10206,"Multimedia","MULTIMEDIA",6,,,,
10207,"So Much Love","SO MUCH LOVE",6,,,,
10208,"Peace","PEACE",6,,,,
10209,"Peace","PEACE",6,,,,
10210,"Vento Bravo","VENTO BRAVO",6,,,,
10211,"Gong","GONG",6,,,,
10212,"Tanga","TANGA",6,,,,
10213,"Cabbie Patch","CABBIE PATCH",6,,,,
10214,"Mija","MIJA",6,,,,
10215,"Sui Fumi","SUI FUMI",6,,,,
10216,"Mallethead","MALLETHEAD",6,,,,
10217,"Cantor Da Noite","CANTOR DA NOITE",6,,,,
10218,"The Dolphin","DOLPHIN",6,,,,
10219,"Tough Town","TOUGH TOWN",6,,,,
10220,"Waltz For Betty","WALTZ FOR BETTY",6,,,,
10221,"Town Sound","TOWN SOUND",6,,,,
10222,"I Waited For You","I WAITED FOR YOU",6,,,,
10223,"Shades Of Light","SHADES OF LIGHT",6,,,,
10224,"She'd Be So Nice To Come Home To","SHED BE SO NICE TO COME HOME TO",6,,,,
10225,"Lonely Moments","LONELY MOMENTS",6,,,,
10226,"Our Delight","OUR DELIGHT",6,,,,
10227,"Kim's Lament","KIMS LAMENT",6,,,,
10228,"On The Seventh Day","ON THE SEVENTH DAY",6,,,,
10229,"Paradox","PARADOX",6,,,,
10230,"Ira's Blues","IRAS BLUES",6,,,,
10231,"Dog Ear Blues","DOG EAR BLUES",6,,,,
10232,"The Serpent's Tooth","SERPENTS TOOTH",6,,,,
10233,"Gulfstream","GULFSTREAM",6,,,,
10234,"Wasn't It A Grand Affair","WASNT IT A GRAND AFFAIR",6,,,,
10235,"Bossa For Bella","BOSSA FOR BELLA",6,,,,
10236,"110","110",6,,,,
10237,"Talla Sunshine Naime Rainbow, Dance For Their Father","TALLA SUNSHINE NAIME RAINBOW DANCE FOR THEIR FATHER",6,,,,
10238,"Hi Jinx","HI JINX",6,,,,
10239,"Babies","BABIES",6,,,,
10240,"Muck And Meyer","MUCK AND MEYER",6,,,,
10241,"Frito Mistos","FRITO MISTOS",6,,,,
10242,"Dial-A-Brew","DIAL-A-BREW",6,,,,
10243,"Shutters","SHUTTERS",6,,,,
10244,"Red Hot And Blues","RED HOT AND BLUES",6,,,,
10245,"Lodgellian Mode","LODGELLIAN MODE",6,,,,
10246,"Mr. Oliver","MR OLIVER",6,,,,
10247,"What Can We Do","WHAT CAN WE DO",6,,,,
10248,"Come Home To Red","COME HOME TO RED",6,,,,
10249,"Blues In The Guts","BLUES IN THE GUTS",1,,,,
10250,"[unknown title]","UNKNOWN TITLE",6,,,,
10251,"The Dancing Bull","DANCING BULL",6,,,,
10252,"Antidote","ANTIDOTE",6,,,,
10253,"Cuttin' Out","CUTTIN OUT",6,,,,
10254,"Shakey Jake","SHAKEY JAKE",6,,,,
10255,"E Flat Tuba G","E FLAT TUBA G",6,,,,
10256,"Adah","ADAH",6,,,,
10257,"Horizons","HORIZONS",6,,,,
10258,"Nineveh","NINEVEH",6,,,,
10259,"Junction","JUNCTION",6,,,,
10260,"Sonny Boy","SONNY BOY",6,,,,
10261,"Night Life","NIGHT LIFE",6,,,,
10262,"Dolph Line","DOLPH LINE",6,,,,
10263,"Blues","BLUES",1,,,,
10264,"Strolling","STROLLING",6,,,,
10265,"Leslie's Gauge","LESLIES GAUGE",6,,,,
10266,"The Transformation","TRANSFORMATION",6,,,,
10267,"Romance The Magic Snake","ROMANCE THE MAGIC SNAKE",6,,,,
10268,"Soul Invaders","SOUL INVADERS",6,,,,
10269,"Freedom Flight","FREEDOM FLIGHT",6,,,,
10270,"Love Persuasion","LOVE PERSUASION",6,,,,
10271,"Pasdetrois (Parade of the Ballerinas)","PASDETROIS PARADE OF THE BALLERINAS",6,,,,
10272,"Those Daring Eyes","THOSE DARING EYES",6,,,,
10273,"Dig This","DIG THIS",6,,,,
10274,"Red Is Blue","RED IS BLUE",6,,,,
10275,"Jeffie","JEFFIE",6,,,,
10276,"Daddy-o","DADDY-O",6,,,,
10277,"On Mike","ON MIKE",6,,,,
10278,"Hail To Dale","HAIL TO DALE",6,,,,
10279,"Rhythm In A Riff","RHYTHM IN A RIFF",6,,,,
10280,"Lovely Afternoon","LOVELY AFTERNOON",6,,,,
10281,"Dance Cadaverous","DANCE CADAVEROUS",6,,,,
10282,"Without You [aka Tres Palabras]","WITHOUT YOU AKA TRES PALABRAS",6,,,,
10283,"The Breeze And I","BREEZE AND I",6,,,,
10284,"Day By Day","DAY BY DAY",6,,,,
10285,"Wilbur's Tune","WILBURS TUNE",6,,,,
10286,"Blue Stroll","BLUE STROLL",6,,,,
10287,"Bluzinbee","BLUZINBEE",6,,,,
10288,"63rd Street Theme","63RD STREET THEME",6,,,,
10289,"502 Blues (Drinkin' And Drivin')","502 BLUES DRINKIN AND DRIVIN",6,,,,
10290,"Cut It Out!?!","CUT IT OUT",6,,,,
10291,"Love Vibrations","LOVE VIBRATIONS",6,,,,
10292,"Those Wacky Ways","THOSE WACKY WAYS",6,,,,
10293,"Party Time","PARTY TIME",6,,,,
10294,"God Made It Beautiful","GOD MADE IT BEAUTIFUL",6,,,,
10295,"Tenor Madness [aka Royal Roost; aka Rue Chaptal; aka Sportin' Crowd]","TENOR MADNESS AKA ROYAL ROOST; AKA RUE CHAPTAL; AKA SPORTIN CROWD",6,,,,
10296,"Klact-oveeseds-tene","KLACT-OVEESEDS-TENE",6,,,,
10297,"Shaw 'Nuff","SHAW NUFF",6,,,,
10298,"Perhaps","PERHAPS",6,,,,
10300,"Your Dream Or Mine","YOUR DREAM OR MINE",6,,,,
10301,"To Be There","TO BE THERE",6,,,,
10302,"Two Of A Kind","TWO OF A KIND",6,,,,
10303,"You're A Groove","YOURE A GROOVE",6,,,,
10304,"Since The First Time I Saw You","SINCE THE FIRST TIME I SAW YOU",6,,,,
10305,"Twinkletoes","TWINKLETOES",6,,,,
10306,"Lady In Pink","LADY IN PINK",6,,,,
10307,"I Could Never Forget You","I COULD NEVER FORGET YOU",6,,,,
10308,"Nova's Bossa","NOVAS BOSSA",6,,,,
10309,"Soul Of Soul","SOUL OF SOUL",6,,,,
10310,"Conquest","CONQUEST",6,,,,
10311,"To You, Miles","TO YOU MILES",6,,,,
10312,"Crystal Light","CRYSTAL LIGHT",6,,,,
10313,"Double Clutch","DOUBLE CLUTCH",6,,,,
10314,"Chant","CHANT",6,,,,
10315,"So Be It","SO BE IT",6,,,,
10316,"Exotic Birds","EXOTIC BIRDS",6,,,,
10317,"Little Old Groove Maker","LITTLE OLD GROOVE MAKER",6,,,,
10318,"St. Louis Blues Overture","ST LOUIS BLUES OVERTURE",6,,,,
10319,"Our Love And Spirit","OUR LOVE AND SPIRIT",6,,,,
10320,"Looking Glass Falls","LOOKING GLASS FALLS",6,,,,
10321,"The Kingdom Within You","KINGDOM WITHIN YOU",6,,,,
10322,"Late Nights","LATE NIGHTS",6,,,,
10323,"Wonderful Sound","WONDERFUL SOUND",6,,,,
10324,"Ballad","BALLAD",6,,,,
10325,"Fooltish","FOOLTISH",6,,,,
10326,"Don't You Know Your Future's In Space","DONT YOU KNOW YOUR FUTURES IN SPACE",6,,,,
10327,"Live Right Now","LIVE RIGHT NOW",6,,,,
10328,"Really","REALLY",6,,,,
10329,"Nowhere To Go","NOWHERE TO GO",6,,,,
10330,"Why Don't You Quit","WHY DONT YOU QUIT",6,,,,
10331,"[unknown titles]","UNKNOWN TITLES",6,,,,
10332,"Sister Salvation","SISTER SALVATION",6,,,,
10333,"Asseveration","ASSEVERATION",6,,,,
10334,"A Little Night Music","LITTLE NIGHT MUSIC",6,,,,
10335,"Somethin' Sanctified","SOMETHIN SANCTIFIED",6,,,,
10336,"El Sino","EL SINO",6,,,,
10337,"The Jazz Twist","JAZZ TWIST",6,,,,
10338,"Gorgeous George","GORGEOUS GEORGE",6,,,,
10339,"The Barbarians","BARBARIANS",6,,,,
10340,"Strollin'","STROLLIN",6,,,,
10341,"Slide Slid","SLIDE SLID",6,,,,
10342,"Newport","NEWPORT",6,,,,
10343,"Althea","ALTHEA",6,,,,
10344,"Go East, Young Man","GO EAST YOUNG MAN",6,,,,
10345,"Jazz Corner","JAZZ CORNER",6,,,,
10346,"Patricia","PATRICIA",6,,,,
10347,"Pajama Tops","PAJAMA TOPS",6,,,,
10348,"Slide's Ride","SLIDES RIDE",6,,,,
10349,"Loquacious Lady","LOQUACIOUS LADY",6,,,,
10350,"Mean Jean","MEAN JEAN",6,,,,
10351,"Fuss Budget","FUSS BUDGET",6,,,,
10352,"Oatmeal Cookie","OATMEAL COOKIE",6,,,,
10353,"Da-Baby","DA-BABY",6,,,,
10354,"Revival","REVIVAL",6,,,,
10355,"Spanish Flier","SPANISH FLIER",6,,,,
10356,"Slide's Blues","SLIDES BLUES",6,,,,
10357,"The Cloister (Dance Suite): Part One - Impression","CLOISTER DANCE SUITE: PART ONE - IMPRESSION",6,,,,
10358,"The Cloister (Dance Suite): Part Two - Obsession","CLOISTER DANCE SUITE: PART TWO - OBSESSION",6,,,,
10359,"The Cloister (Dance Suite): Part Three - Expression","CLOISTER DANCE SUITE: PART THREE - EXPRESSION",6,,,,
10360,"The Cloister (Dance Suite): Part Four - Possession","CLOISTER DANCE SUITE: PART FOUR - POSSESSION",6,,,,
10361,"My Blues","MY BLUES",6,,,,
10362,"A New Thing","NEW THING",6,,,,
10363,"A Day In Vienna","DAY IN VIENNA",6,,,,
10364,"Don't Let It Happen Here","DONT LET IT HAPPEN HERE",6,,,,
10365,"They Trespass The Land Of The Sacred Sioux","THEY TRESPASS THE LAND OF THE SACRED SIOUX",6,,,,
10366,"Oo Bop Sh'bam","OO BOP SHBAM",6,,,,
10367,"I Love The Loveliness Of You","I LOVE THE LOVELINESS OF YOU",6,,,,
10368,"Big Time Baby","BIG TIME BABY",6,,,,
10369,"Pork 'n Beans","PORK N BEANS",6,,,,
10370,"Dawn Mist","DAWN MIST",6,,,,
10371,"I'll Never Say No","ILL NEVER SAY NO",6,,,,
10372,"Old Fool","OLD FOOL",6,,,,
10373,"Please Be Good To Me","PLEASE BE GOOD TO ME",6,,,,
10374,"Blues Melba","BLUES MELBA",1,,,,
10375,"Pow!","POW",6,,,,
10376,"You Don't Say","YOU DONT SAY",6,,,,
10377,"Christmas Eve","CHRISTMAS EVE",6,,,,
